Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
South Africa,"4,631","5,201","5,362","5,331","5,658","5,634","5,620","5,760","6,082","6,331"
South Sudan,,,,,,,,,,
Spain,"7,883","8,503","9,094","9,565","10,032","10,561","11,111","12,017","13,067","14,226"
Sri Lanka,"1,135","1,290","1,424","1,511","1,653","1,773","1,867","1,924","2,024","2,129"
Saint Kitts and Nevis,"3,258","3,677","4,165","4,263","4,868","5,382","6,022","6,742","7,758","8,585"
Saint Lucia,"2,747","3,107","3,313","3,533","3,891","4,454","4,886","5,032","5,614","6,155"
Saint Vincent and the Grenadines,"1,706","1,923","2,078","2,212","2,392","2,554","2,725","2,790","3,242","3,451"
Sudan,965,"1,089","1,170","1,165","1,087","1,085","1,184","1,257","1,332","1,369"
Suriname,,,,,,,,,,
Swaziland,"1,653","2,012","2,101","2,146","2,284","2,359","2,594","2,919","3,083","3,476"
Sweden,"10,516","12,013","12,933","13,715","14,791","15,582","16,315","17,211","18,155","19,172"
Switzerland,"17,142","18,950","19,745","20,529","21,855","23,276","24,078","24,938","26,487","28,495"
Syria,"2,069","2,372","2,500","2,556","2,395","2,564","2,411","2,422","2,733","2,581"
Taiwan,"3,463","3,983","4,356","4,865","5,463","5,834","6,570","7,511","8,300","9,283"
Tajikistan,,,,,,,,,,
Tanzania,591,630,654,677,705,742,786,832,877,914
Thailand,"1,605","1,805","1,979","2,143","2,298","2,423","2,551","2,817","3,238","3,751"
Timor-Leste,,,,,,,,,,
Togo,890,912,803,764,809,836,853,826,913,961
Tonga,736,912,"1,087","1,182","1,746","1,912","2,134","2,220","2,206","2,306"
Trinidad and Tobago,"7,571","8,492","9,211","8,451","8,126","7,936","7,744","7,508","7,407","7,687"
Tunisia,"2,127","2,387","2,463","2,618","2,833","2,991","2,894","3,101","3,158","3,306"
Turkey,"3,491","3,896","4,168","4,278","4,624","4,863","5,190","5,731","6,158","6,323"
Turkmenistan,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,416,458,511,541,526,509,506,521,562,599
Ukraine,,,,,,,,,,
United Arab Emirates,"74,760","81,075","75,134","71,554","71,483","68,263","53,878","55,856","47,175","54,585"
United Kingdom,"8,851","9,597","10,410","11,273","11,919","12,782","13,420","14,470","15,812","16,804"
United States,"12,576","13,966","14,410","15,531","17,099","18,232","19,078","20,063","21,442","22,879"
Uruguay,"4,240","4,692","4,489","4,484","4,563","4,749","5,244","5,772","6,026","6,294"
Uzbekistan,,,,,,,,,,
Vanuatu,952,"1,050","1,100","1,150","1,265","1,270","1,256","1,233","1,220","1,278"
Venezuela,"7,838","8,208","8,690","7,919","8,393","8,499","9,088","9,528","10,247","8,945"
Vietnam,435,493,556,607,669,715,739,760,811,890
Yemen,,,,,,,,,,
Zambia,"1,357","1,531","1,530","1,524","1,505","1,526","1,537","1,553","1,705","1,656"
Zimbabwe,,,,,,,,,,
